#: table_doi: 10.17182/hepdata.78549.v1/t3
#: name: Table 3
#: description: v2 of anti-deuterons and deuterons vs  $p_{\mathrm T}$ for different centrality intervals
#: data_file: hepdataFig5.yaml
#: keyword reactions: PB PB --> DEUTERON X
#: keyword observables: v2 OF DEUTERON
#: keyword cmenergies: 2760.0
#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,0 TO 5%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.005743,0.01317,-0.01317,0.0005302,-0.0005302
1.1,1.0,1.2,0.03457,0.01007,-0.01007,0.005994,-0.005994
1.2999999999999998,1.2,1.4,0.01302,0.008083,-0.008083,0.002684,-0.002684
1.5,1.4,1.6,0.00273,0.008993,-0.008993,0.0005817,-0.0005817
1.7000000000000002,1.6,1.8,0.0082,0.006354,-0.006354,0.001819,-0.001819
1.9,1.8,2.0,0.01179,0.006102,-0.006102,0.002423,-0.002423
2.1,2.0,2.2,0.01471,0.006915,-0.006915,0.00256,-0.00256
2.3,2.2,2.4,0.0185,0.007099,-0.007099,0.002701,-0.002701
2.5,2.4,2.6,0.01443,0.007296,-0.007296,0.001601,-0.001601
2.8,2.6,3.0,0.04982,0.005081,-0.005081,0.003434,-0.003434
3.25,3.0,3.5,0.04993,0.005087,-0.005087,0.002434,-0.002434
3.75,3.5,4.0,0.06304,0.006306,-0.006306,0.002868,-0.002868
4.5,4.0,5.0,0.07196,0.008931,-0.008931,0.003459,-0.003459

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,5 TO 10%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.008114,0.01059,-0.01059,0.002237,-0.002237
1.1,1.0,1.2,0.002776,0.00824,-0.00824,0.001118,-0.001118
1.2999999999999998,1.2,1.4,0.003018,0.006868,-0.006868,0.001168,-0.001168
1.5,1.4,1.6,0.01534,0.00417,-0.00417,0.004242,-0.004242
1.7000000000000002,1.6,1.8,0.01064,0.004251,-0.004251,0.002002,-0.002002
1.9,1.8,2.0,0.01536,0.004768,-0.004768,0.002444,-0.002444
2.1,2.0,2.2,0.0191,0.005283,-0.005283,0.002536,-0.002536
2.3,2.2,2.4,0.02949,0.005419,-0.005419,0.002847,-0.002847
2.5,2.4,2.6,0.0367,0.005664,-0.005664,0.002511,-0.002511
2.8,2.6,3.0,0.05328,0.004089,-0.004089,0.002479,-0.002479
3.25,3.0,3.5,0.0783,0.004153,-0.004153,0.002474,-0.002474
3.75,3.5,4.0,0.1062,0.005531,-0.005531,0.002576,-0.002576
4.5,4.0,5.0,0.1414,0.007724,-0.007724,0.002895,-0.002895

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,10 TO 20%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.01277,0.01436,-0.01436,0.0009889,-0.0009889
1.1,1.0,1.2,0.04631,0.01103,-0.01103,0.004257,-0.004257
1.2999999999999998,1.2,1.4,0.02542,0.009143,-0.009143,0.002453,-0.002453
1.5,1.4,1.6,0.02344,0.005572,-0.005572,0.00223,-0.00223
1.7000000000000002,1.6,1.8,0.02491,0.005585,-0.005585,0.00234,-0.00234
1.9,1.8,2.0,0.02934,0.006067,-0.006067,0.00258,-0.00258
2.1,2.0,2.2,0.03062,0.006662,-0.006662,0.002242,-0.002242
2.3,2.2,2.4,0.05079,0.007036,-0.007036,0.002674,-0.002674
2.5,2.4,2.6,0.07575,0.007216,-0.007216,0.002845,-0.002845
2.8,2.6,3.0,0.09432,0.005438,-0.005438,0.002624,-0.002624
3.25,3.0,3.5,0.1501,0.005684,-0.005684,0.002998,-0.002998
3.75,3.5,4.0,0.1782,0.007583,-0.007583,0.003087,-0.003087
4.5,4.0,5.0,0.2148,0.01162,-0.01162,0.004439,-0.004439

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,20 TO 30%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.01345,0.01592,-0.01592,0.002165,-0.002165
1.1,1.0,1.2,0.002515,0.0117,-0.0117,0.0003882,-0.0003882
1.2999999999999998,1.2,1.4,0.02059,0.01023,-0.01023,0.002385,-0.002385
1.5,1.4,1.6,0.04458,0.006151,-0.006151,0.003426,-0.003426
1.7000000000000002,1.6,1.8,0.03788,0.006009,-0.006009,0.002181,-0.002181
1.9,1.8,2.0,0.04948,0.006398,-0.006398,0.002351,-0.002351
2.1,2.0,2.2,0.07892,0.006998,-0.006998,0.00278,-0.00278
2.3,2.2,2.4,0.09443,0.007361,-0.007361,0.002554,-0.002554
2.5,2.4,2.6,0.1,0.007827,-0.007827,0.002305,-0.002305
2.8,2.6,3.0,0.1522,0.006141,-0.006141,0.002865,-0.002865
3.25,3.0,3.5,0.2073,0.006634,-0.006634,0.003223,-0.003223
3.75,3.5,4.0,0.2623,0.009051,-0.009051,0.00373,-0.00373
4.5,4.0,5.0,0.314,0.01305,-0.01305,0.004448,-0.004448

#: SQRT(S)/NUCLEON [GEV],,,2760.0
#: PT [GEV],,,0.8 TO 5.0
#: CENTRALITY,,,30 TO 40%
$p_{\rm T}~({\rm GeV/}c)$,$p_{\rm T}~({\rm GeV/}c)$ LOW,$p_{\rm T}~({\rm GeV/}c)$ HIGH,"${v}_{2}^{\mathrm{Tot}} \{SP, |\Delta \eta| > 0.9\}$",stat +,stat -,sys +,sys -
0.9,0.8,1.0,0.02884,0.01947,-0.01947,0.00233,-0.00233
1.1,1.0,1.2,0.02631,0.01445,-0.01445,0.002426,-0.002426
1.2999999999999998,1.2,1.4,0.01789,0.01212,-0.01212,0.001442,-0.001442
1.5,1.4,1.6,0.04693,0.007316,-0.007316,0.002679,-0.002679
