#: table_doi: 10.17182/hepdata.62277.v1/t1
#: name: Table 1
#: description: Transverse momentum dependence of v2 for centrality 40-50% from the 2- and 4-particle cumulant methods.
#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],40.0-50.0
#: ETARAP,-0.8-0.8
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
PT [GEV],V2{2},error +,error -
0.25,0.0434,0.0015,-0.0015
0.35,0.0599,0.0016,-0.0016
0.45,0.0735,0.0017,-0.0017
0.55,0.0898,0.0019,-0.0019
0.65,0.1055,0.0021,-0.0021
0.75,0.1174,0.0023,-0.0023
0.85,0.1282,0.0026,-0.0026
0.95,0.138,0.0028,-0.0028
1.1,0.1583,0.0024,-0.0024
1.3,0.1777,0.0029,-0.0029
1.5,0.1964,0.0036,-0.0036
1.7,0.2083,0.0045,-0.0045
1.9,0.2166,0.0054,-0.0054
2.25,0.243,0.0048,-0.0048
2.75,0.25,0.0075,-0.0075
3.25,0.2401,0.0111,-0.0111
3.75,0.269,0.0161,-0.0161
4.5,0.2078,0.0181,-0.0181
