#: table_doi: 10.17182/hepdata.68162.v1/t17
#: name: Table 17
#: description: K0s v2 as a function of pT for centrality: 10-20%.

#: data_file: Table17.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,10-20%
#: Particle,K0s
#: Range,0.4 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.529946,0.017869,0.002682,-0.002682,-0.005,0.001
0.712748,0.03969,0.001348,-0.001348,-0.003,0.001
0.903939,0.060833,0.000995,-0.000995,-0.001,0.001
1.09954,0.077164,0.000957,-0.000957,-0.001,0.001
1.29719,0.096078,0.001015,-0.001015,-0.001,0.001
1.49572,0.109935,0.00112,-0.00112,-0.001,0.001
1.69479,0.122102,0.001315,-0.001315,-0.001,0.001
1.89426,0.131174,0.001533,-0.001533,-0.001,0.001
2.09402,0.137333,0.00182,-0.00182,-0.001,0.001
2.29372,0.143874,0.002245,-0.002245,-0.001,0.001
2.57496,0.147853,0.002088,-0.002088,-0.001,0.001
2.97492,0.151444,0.003072,-0.003072,-0.001,0.001
3.37682,0.152801,0.004393,-0.004393,-0.001,0.001
3.77935,0.142261,0.006185,-0.006185,-0.001,0.001
4.39012,0.116796,0.006122,-0.006122,-0.001,0.001
5.41181,0.113342,0.010782,-0.010782,-0.001,0.001
6.73862,0.103733,0.013115,-0.013115,-0.001,0.001
8.77197,0.083325,0.027094,-0.027094,-0.001,0.001
10.7712,0.050232,0.046468,-0.046468,-0.001,0.001

