#: table_doi: 10.17182/hepdata.68162.v1/t27
#: name: Table 27
#: description: Average kaons v2 as a function of pT for centrality: 40-50%.

#: data_file: Table27.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,40-50%
#: Particle,Average kaons
#: Range,0.3 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.528672,0.0499614,0.00160058,-0.00160058,-0.00455784,0.00274367
0.711525,0.0799691,0.00133573,-0.00133573,-0.00412411,0.00322019
0.903068,0.111286,0.00160799,-0.00160799,-0.00176015,0.00304584
1.09913,0.13945,0.00168216,-0.00168216,-0.00127158,0.00130626
1.29679,0.158101,0.00183253,-0.00183253,-0.00225133,0.00591177
1.49562,0.179948,0.00204059,-0.00204059,-0.00191532,0.00437828
1.69496,0.193818,0.00228855,-0.00228855,-0.00235303,0.00545327
1.89471,0.203731,0.00260639,-0.00260639,-0.00263396,0.00518014
2.0944,0.2131,0.00297189,-0.00297189,-0.00316627,0.00566648
2.29374,0.214161,0.00344566,-0.00344566,-0.00500769,0.00810477
2.578,0.217293,0.00362259,-0.00362259,-0.00210732,0.00420483
2.97972,0.214262,0.00554756,-0.00554756,-0.00271562,0.0115896
3.37781,0.206633,0.00726305,-0.00726305,-0.00350273,0.00730273
3.77938,0.198203,0.00965729,-0.00965729,-0.00396504,0.0091376
4.39831,0.18511,0.011158,-0.011158,-0.001,0.001
5.41445,0.144155,0.018866,-0.018866,-0.001,0.001
6.73471,0.137872,0.024603,-0.024603,-0.001,0.001
8.77773,0.18563,0.048125,-0.048125,-0.001,0.001
10.8014,0.043202,0.089393,-0.089393,-0.001,0.001

