#: table_doi: 10.17182/hepdata.68162.v1/t43
#: name: Table 43
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 10-20%.

#: data_file: Table43.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,10-20%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.726839,-0.002854,0.006494,-0.006494,-0.01,0.002
0.911202,0.00692,0.003916,-0.003916,-0.005,0.002
1.10611,0.023038,0.003053,-0.003053,-0.002,0.002
1.29819,0.043167,0.002864,-0.002864,-0.002,0.002
1.5009,0.061549,0.002575,-0.002575,-0.002,0.002
1.69938,0.080626,0.00253,-0.00253,-0.002,0.002
1.89777,0.100115,0.002627,-0.002627,-0.002,0.002
2.09637,0.113967,0.002903,-0.002903,-0.002,0.002
2.29557,0.132161,0.003238,-0.003238,-0.002,0.002
2.57825,0.151463,0.002779,-0.002779,-0.002,0.002
2.97699,0.170471,0.003875,-0.003875,-0.002,0.002
3.37565,0.183772,0.005448,-0.005448,-0.002,0.002
3.77448,0.19482,0.007699,-0.007699,-0.002,0.002
4.35614,0.201202,0.008748,-0.008748,-0.002,0.002
5.38095,0.177722,0.020551,-0.020551,-0.002,0.002
6.67288,0.132731,0.023955,-0.023955,-0.002,0.002
8.77234,0.149637,0.058829,-0.058829,-0.002,0.002
10.8608,-0.028583,0.127195,-0.127195,-0.002,0.002

